"PK","SK","active","assessments","clientType","collegeId","collegeName","createdAssessments","createdAt","department","departments","designation","domain","email","firstName","id","joiningDate","lastName","location","name","permissions","phone","role","rollNumber","status","type","updatedAt","year"
"GLOBAL#ADMIN","ADMIN#admin@praskla.com","","","","","","","2025-11-02T10:28:00","","","","","admin@praskla.com","","","","","","Global Super Admin","","","Admin","","","","",""
"CLIENT#ksrce.ac.in","METADATA","true","","college","","KSR College of Engineering","","","","[{""S"":""CSE""},{""S"":""EEE""}]","","ksrce.ac.in","","","","","","Salem","","","","","","","","2025-11-16T13:23:38.141Z",""
"CLIENT#ksrce.ac.in","PTO#1001","","","","CLIENT#ksrce.ac.in","","[{""S"":""ASSESS_001_EEE""},{""S"":""ASSESS_002_EEE""},{""S"":""ASSESS_001_MULT""}]","","EEE","","","","PTO@ksrce.ac.in","","","","","","Kavin","","9688453002","Placement Training Officer","","ACTIVE","","2025-11-16T13:24:02.916Z",""
"CLIENT#ksrce.ac.in","PTS#2","","","","","","","","Computer Science","","PTS","","ruban@PTS.ksrce.in","Ruban","","","","","Ruban","[{""S"":""createAssessments""},{""S"":""editAssessments""},{""S"":""viewReports""}]","8998677645","","","","","2025-11-17T16:03:47.064Z",""
"CLIENT#ksrce.ac.in","PTS#2001","","","","CLIENT#ksrce.ac.in","","[{""S"":""ASSESS_001_MECH""},{""S"":""ASSESS_002_MECH""},{""S"":""ASSESS_001_MULT""}]","","MECH","","PTS","","PTS@ksrce.ac.in","","","2022-05-01","","","Ravi B","","7584369584","Placement Training Staff","","ACTIVE","","2025-11-16T13:24:23.621Z",""
"CLIENT#ksrce.ac.in","Placement Training Officer#44a54cf9","","","","","","","2025-11-17T16:04:09.557Z","asdf","","","","asdfasdf@gmail.com","","","","","","ptotester","[]","1234567890","Placement Training Officer","","","","2025-11-17T16:04:09.557Z",""
"CLIENT#ksrce.ac.in","Placement Training Officer#a3058a43","","","","","","","2025-11-17T16:03:20.318Z","cyber","","","","dharan@test.com","","","","","","pto test","[]","1234567890","Placement Training Officer","","","","2025-11-17T16:03:20.318Z",""
"CLIENT#ksrce.ac.in","STUDENT#Student2@ksrce.ac.in","","{""asses_01_CSE"":{""M"":{""date"":{""S"":""2025-11-16""},""score"":{""N"":""80""},""rank"":{""N"":""4""}}},""asses_01_ALL"":{""M"":{""date"":{""S"":""2025-10-12""},""score"":{""N"":""45""},""rank"":{""N"":""10""}}},""asses_01_MULT"":{""M"":{""date"":{""S"":""2025-10-12""},""score"":{""N"":""75""},""rank"":{""N"":""10""}}}}","","","","","","CSE","","","","Student2@ksrce.ac.in","","","","","","kavin","","","Student","","","","","3"
"CLIENT#ksrce.ac.in","STUDENT#Student3@ksrce.ac.in","","","","","","","","CSE","","","","Student3@ksrce.ac.in","","","","","","kavin","","","Student","","","","","3"
"CLIENT#ksrce.ac.in","STUDENT#Student4@ksrce.ac.in","","","","","","","","CSE","","","","Student4@ksrce.ac.in","","","","","","Gowtham","","","Student","","","","","3"
"CLIENT#ksrce.ac.in","STUDENT#Student@ksrce.ac.in","","","","","","","","CSE","","","","Student@ksrce.ac.in","","","","","","Arun","","","Student","","","","","3"
"CLIENT#ksrce.ac.in","STUDENT#stduent5@ksrce.ac.in","","","","","","","2025-11-17T03:25:09.017Z","Mechanical","","","","stduent5@ksrce.ac.in","","","","","","Guhan","","122365488","","CS2025BS","Active","","2025-11-17T03:25:09.017Z",""
"CLIENT#ts1.ac.in","METADATA","true","","college","","""Testcollege1 ""","","2025-11-16T07:22:53.006Z","","","","ts1.ac.in","","","","","","Erode","""Testcollege1 ""","","","","","","","2025-11-16T13:23:40.642Z",""
"CLIENT#ts1.ac.in","PTO#0e74d0a5","","","","","","","2025-11-17T14:55:16.847Z","Cyber","","","","dharanragu@gmail.com","","","","","","Dharan","[]","9688453002","PTO","","","","2025-11-17T14:55:16.847Z",""
"STAFF#073aadc1-68d0-4102-a795-4de5ff7b3155","STAFF#073aadc1-68d0-4102-a795-4de5ff7b3155","","","","","","","2025-11-13T17:17:14.582Z","ECE","","Trainer","","kiru@ksr.in","","073aadc1-68d0-4102-a795-4de5ff7b3155","","","","kiruba","{""editAssessments"":{""BOOL"":true},""viewReports"":{""BOOL"":true},""createAssessments"":{""BOOL"":true}}","9898766745","","","","staff","2025-11-13T17:17:14.582Z",""
